"Measure","Ethnicity","Ethnicity_type","Time","Geography","Geography_type","Gender","Age Bracket","NS SEC","Physical Activity Level","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Physically inactive","30.9","%","24199","7478","0.315","0.303","37300"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Physically inactive","53.6","%","18975","10175","0.546","0.527","19429"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Physically inactive","16.5","%","67081","11079","0.169","0.162","95199"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Physically inactive","24.6","%","45926","11283","0.252","0.24","45047"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Physically inactive","31.8","%","27886","8862","0.327","0.308","18761"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Physically inactive","36.7","%","7486","2745","0.388","0.346","4003"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Physically inactive","19.1","%","27202","5186","0.2","0.182","14783"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Female","16+","All","Fairly active","13.4","%","100211","13397","0.137","0.131","110847"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Female","16+","All","Physically active","59.9","%","100211","60038","0.603","0.595","110847"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Female","16+","All","Physically inactive","26.7","%","100211","26775","0.271","0.263","110847"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Male","16+","All","Fairly active","11.3","%","95502","10785","0.116","0.11","87607"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Male","16+","All","Physically active","64.5","%","95502","61611","0.65","0.64","87607"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Male","16+","All","Physically inactive","24.2","%","95502","23106","0.246","0.238","87607"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Other gender","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Other gender","16+","All","Physically active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Other gender","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Fairly active","13.8","%","13828","1902","0.149","0.127","7984"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Fairly active","12","%","3649","437","0.145","0.098","1212"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Fairly active","14.3","%","3292","469","0.167","0.121","1800"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Fairly active","15.4","%","3264","502","0.178","0.133","2378"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Fairly active","15.1","%","1851","279","0.184","0.123","1185"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Fairly active","10.8","%","911","99","0.14","0.083","681"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Fairly active","15.2","%","478","73","0.199","0.115","455"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Fairly active","?","%","?","?","?","?","219"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Fairly active","15.3","%","4129","631","0.17","0.137","3782"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Fairly active","14.3","%","2553","365","0.172","0.118","1421"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Fairly active","13.2","%","1945","256","0.162","0.107","776"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Fairly active","14.2","%","1414","201","0.191","0.104","546"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Fairly active","11.9","%","3404","405","0.146","0.097","1186"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Physically active","55.6","%","13828","7693","0.573","0.54","7984"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Physically active","65.8","%","3649","2401","0.693","0.622","1212"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Physically active","55.8","%","3292","1837","0.593","0.523","1800"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Physically active","51.5","%","3264","1682","0.546","0.484","2378"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Physically active","54.3","%","1851","1004","0.584","0.501","1185"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Physically active","50","%","911","455","0.555","0.445","681"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Physically active","38.5","%","478","184","0.445","0.329","455"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Physically active","35.7","%","295","105","0.439","0.283","219"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Physically active","59.2","%","4129","2445","0.615","0.569","3782"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Physically active","53.1","%","2553","1356","0.569","0.494","1421"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Physically active","47.9","%","1945","931","0.528","0.429","776"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Physically active","45.3","%","1414","641","0.513","0.395","546"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Physically active","64.4","%","3404","2190","0.68","0.606","1186"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Physically inactive","30.6","%","13828","4233","0.321","0.291","7984"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Physically inactive","22.2","%","3649","811","0.255","0.192","1212"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Physically inactive","29.9","%","3292","986","0.332","0.269","1800"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Physically inactive","33.1","%","3264","1080","0.361","0.302","2378"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Physically inactive","30.7","%","1851","568","0.346","0.27","1185"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Physically inactive","39.2","%","911","357","0.447","0.339","681"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Physically inactive","46.3","%","478","221","0.525","0.402","455"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Physically inactive","55.4","%","295","164","0.634","0.472","219"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Physically inactive","25.5","%","4129","1053","0.277","0.235","3782"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Physically inactive","32.6","%","2553","831","0.362","0.291","1421"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Physically inactive","39","%","1945","758","0.438","0.343","776"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Physically inactive","40.4","%","1414","572","0.46","0.351","546"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Physically inactive","23.7","%","3404","808","0.272","0.206","1186"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Female","16+","All","Fairly active","15.7","%","6213","976","0.173","0.142","4183"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Female","16+","All","Physically active","50.1","%","6213","3111","0.523","0.479","4183"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Female","16+","All","Physically inactive","34.2","%","6213","2127","0.363","0.322","4183"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Male","16+","All","Fairly active","12.2","%","7600","926","0.138","0.107","3787"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Male","16+","All","Physically active","60.3","%","7600","4580","0.626","0.579","3787"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Male","16+","All","Physically inactive","27.6","%","7600","2094","0.298","0.254","3787"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Other gender","16+","All","Fairly active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Other gender","16+","All","Physically active","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","Other gender","16+","All","Physically inactive","*","%","*","*","*","*","*"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Fairly active","14.8","%","4613","681","0.168","0.129","2910"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Fairly active","11.8","%","1111","132","0.165","0.084","388"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Fairly active","14.7","%","748","110","0.211","0.1","460"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Fairly active","15.4","%","894","137","0.202","0.115","663"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Fairly active","16.9","%","1010","171","0.214","0.133","728"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Fairly active","17.2","%","468","81","0.231","0.126","380"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Fairly active","?","%","?","?","?","?","121"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Fairly active","?","%","?","?","?","?","107"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Fairly active","17","%","1192","203","0.208","0.139","1222"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Fairly active","14.5","%","865","126","0.188","0.111","579"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Fairly active","17.4","%","654","114","0.234","0.127","301"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Fairly active","17.9","%","420","75","0.288","0.106","162"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Fairly active","10.6","%","1232","131","0.149","0.075","476"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Physically active","56.6","%","4613","2609","0.593","0.538","2910"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Physically active","69.6","%","1111","773","0.752","0.633","388"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Physically active","58","%","748","434","0.654","0.502","460"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Physically active","58.5","%","894","523","0.639","0.529","663"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Physically active","55.7","%","1010","563","0.608","0.506","728"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Physically active","42.8","%","468","200","0.499","0.359","380"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Physically active","43.1","%","132","57","0.551","0.318","121"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Physically active","?","%","?","?","?","?","107"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Physically active","63.1","%","1192","753","0.671","0.59","1222"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Physically active","55.5","%","865","480","0.609","0.499","579"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Physically active","52.2","%","654","342","0.596","0.448","301"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Physically active","47.5","%","420","199","0.59","0.362","162"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Physically active","63","%","1232","776","0.687","0.569","476"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16+","All","Physically inactive","28.7","%","4613","1323","0.312","0.263","2910"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-24","All","Physically inactive","18.6","%","1111","207","0.24","0.142","388"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","25-34","All","Physically inactive","27.3","%","748","204","0.351","0.206","460"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","35-44","All","Physically inactive","26.1","%","894","234","0.311","0.217","663"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","45-54","All","Physically inactive","27.3","%","1010","276","0.322","0.229","728"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","55-64","All","Physically inactive","40","%","468","187","0.472","0.331","380"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","65-74","All","Physically inactive","43","%","132","57","0.559","0.31","121"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","75+","All","Physically inactive","70.7","%","183","129","0.805","0.586","107"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 1-2","Physically inactive","19.8","%","1192","236","0.232","0.168","1222"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 3-5","Physically inactive","30","%","865","259","0.353","0.252","579"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 6-7","Physically inactive","30.4","%","654","199","0.371","0.244","301"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 8","Physically inactive","34.6","%","420","145","0.469","0.24","162"
"Percentage of people at each activity level","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","Nov 2015 to Nov 2016","England","Country","All","16-74","NS SEC 9","Physically inactive","26.4","%","1232","325","0.319","0.215","476"
